Date,TotalPet,TotalGas
1/1/2009,97924.5991,135493.2462
2/1/2009,100044.0659,119567.37
3/1/2009,99329.5204,132671.8891
4/1/2009,98880.3859,116012.7545
5/1/2009,98151.9991,108534.5693
6/1/2009,95703.7951,114486.3851
7/1/2009,95772.2757,119192.9455
8/1/2009,84180.7635,134662.211
9/1/2009,96031.986,123095.939
10/1/2009,97586.8208,114802.4764
11/1/2009,94307.0595,144420.9696
12/1/2009,94250.9373,127876.6836
1/1/2010,95733.84,114322.0217
2/1/2010,95643.5751,115980.8736
3/1/2010,95914.9473,129355.2049
4/1/2010,95793.2162,119722.9532
5/1/2010,95436.4706,116522.9383
6/1/2010,95919.5417,135374.433
7/1/2010,95428.4756,130230.1432
8/1/2010,95565.177,124275.5134
9/1/2010,94056.0111,122810.4398
10/1/2010,93009.6351,133945.6473
11/1/2010,93093.0692,113987.838
12/1/2010,79084.4425,131223.0108
1/1/2011,91891.5101,114521.9131
2/1/2011,92444.8409,125475.3252
3/1/2011,91880.0909,126825.6852
4/1/2011,76677.1377,112191.5284
5/1/2011,80336.3681,133804.9508
6/1/2011,81528.5921,129486.5601
7/1/2011,85724.2598,124050.6693
8/1/2011,90540.1802,128721.002
9/1/2011,91194.8408,116923.866
10/1/2011,91832.2348,127734.5317
11/1/2011,91488.6173,124858.863
12/1/2011,90400.0551,127371.7091
1/1/2012,88423.8778,132800.7206
2/1/2012,88386.976,121552.3469
3/1/2012,88786.0719,114465.5204
4/1/2012,87798.7212,124330.719
5/1/2012,88548.2351,120120.561
6/1/2012,84493.3992,120424.1253
7/1/2012,85271.8673,122463.8059
8/1/2012,88703.9536,121263.5517
9/1/2012,88674.8446,125625.6692
10/1/2012,87766.7673,113447.7634
11/1/2012,84566.5153,121284.5333
12/1/2012,86672.5756,135361.2048
1/1/2013,84849.2335,113981.1924
2/1/2013,84863.1086,116738.0239
3/1/2013,85173.1444,123286.3942
4/1/2013,84533.33,132489.8561
5/1/2013,86060.8468,124614.749
6/1/2013,85695.792,124746.4882
7/1/2013,86613.1562,115042.5101
8/1/2013,86228.8011,132833.2683
9/1/2013,86750.5262,129584.372
10/1/2013,86940.8428,129037.4249
11/1/2013,86379.4225,132364.0217
12/1/2013,85940.3188,129951.9251
1/1/2014,85715.3195,126500.4024
2/1/2014,85682.9087,124983.183
3/1/2014,84966.4767,117197.3503
4/1/2014,81825.894,126619.0467
5/1/2014,84013.737,126494.2114
6/1/2014,84284.6946,114637.1091
7/1/2014,83457.5405,122000.7426
8/1/2014,84083.9393,118383.9212
9/1/2014,85790.0369,122443.5052
10/1/2014,85635.4026,137941.2926
11/1/2014,84843.5732,115302.4072
12/1/2014,84973.6595,131626.6034
1/1/2015,84779.9345,121450.0294
2/1/2015,84073.5134,122109.1318
3/1/2015,84500.2168,115187.7146
4/1/2015,84785.7202,127020.7912
5/1/2015,85275.1295,133425.8595
6/1/2015,84843.9542,138202.7107
7/1/2015,84610.0267,117188.1953
8/1/2015,84139.9156,139994.3064
9/1/2015,84406.5101,123821.2691
10/1/2015,85122.6448,122919.9962
11/1/2015,84607.2763,124647.8007
12/1/2015,84612.6301,119862.3423
1/1/2016,83456.9192,127228.0109
2/1/2016,82398.9044,129247.7731
3/1/2016,82935.0195,133147.5679
4/1/2016,82825.6366,127155.3983
5/1/2016,79356.0681,128860.4743
6/1/2016,79580.8347,130727.1151
7/1/2016,81344.0785,133723.462
8/1/2016,81004.4428,123034.6144
9/1/2016,81538.9215,122851.6671
10/1/2016,81181.1459,115270.2906
11/1/2016,79816.165,123228.4725
12/1/2016,78651.5735,127198.8523
1/1/2017,79066.8383,118003.3236
2/1/2017,77220.5991,114199.7379
3/1/2017,77169.1746,111604.5693
4/1/2017,72156.8811,114689.6861
5/1/2017,74688.8107,123417.3702
6/1/2017,73376.0246,115386.3768
7/1/2017,75261.5266,121429.5905
8/1/2017,76149.3171,123994.1409
9/1/2017,77030.3698,127267.9598
10/1/2017,77807.3706,127713.8395
11/1/2017,77720.5201,118563.5755
12/1/2017,77359.7931,115725.5233
1/1/2018,76448.9063,121429.7015
2/1/2018,76760.4728,123152.0907
3/1/2018,77478.3764,113871.1067
4/1/2018,77361.3531,126864.1139
5/1/2018,77133.63,114574.8031
6/1/2018,77071.4075,112514.3108
7/1/2018,76868.5561,115334.7765
8/1/2018,78074.8922,125867.1375
9/1/2018,79261.285,114483.3845
10/1/2018,79204.1111,121631.5468
11/1/2018,78857.5477,127844.7607
12/1/2018,79287.4403,115381.8983
1/1/2019,79620.1937,123392.5757
2/1/2019,79743.8408,134204.9951
3/1/2019,79890.1785,114577.1255
4/1/2019,80708.4441,122291.2873
5/1/2019,80453.4031,119743.9728
6/1/2019,79180.876,122219.1526
7/1/2019,80304.8902,139898.3235
8/1/2019,82560.4339,115270.7811
9/1/2019,82203.0011,112332.859
10/1/2019,81734.7734,132140.366
11/1/2019,81722.6328,124838.0755
12/1/2019,82197.5448,131293.2578
1/1/2020,81587.39,121879.0707
2/1/2020,82063.5152,127325.616
3/1/2020,82416.7781,126019.5492
4/1/2020,73241.0076,127250.6968
5/1/2020,71163.5384,131799.2349
6/1/2020,75070.765,125291.9886
7/1/2020,74635.3131,136017.161
8/1/2020,75154.6417,114446.9323
9/1/2020,74823.5406,114237.8122
10/1/2020,75417.9384,123029.7935
11/1/2020,75349.814,126982.5753
12/1/2020,76269.0982,127272.3671
1/1/2021,77480.2388,123127.6133
2/1/2021,78317.8297,121051.796
3/1/2021,79071.4305,123733.9934
4/1/2021,79966.2905,124468.9384
5/1/2021,80184.1097,132228.6433
6/1/2021,79897.3381,124043.5858
7/1/2021,81380.4152,105860.8196
8/1/2021,80876.5901,123464.2769
9/1/2021,83212.5589,117325.3089
10/1/2021,84736.8866,136959.5158
11/1/2021,87010.3484,119525.7353
12/1/2021,87344.3961,125670.0428
1/1/2022,89012.6823,115718.2363
2/1/2022,88953.6679,138925.0036
3/1/2022,89459.4248,144416.8986
4/1/2022,90490.6676,124820.8609
5/1/2022,91589.1089,117977.1775
6/1/2022,91155.8765,121233.9448
